designed_species	designed_pct	recovered_species	recovered_pct
Bacteroides uniformis	14.9	Bacteroides uniformis	11.8
Prevotella copri	12.8	Segatella copri	4.7
Bacteroides thetaiotaomicron	9.6	Bacteroides thetaiotaomicron	2.9
Bifidobacterium longum	8.5	Bifidobacterium longum	13.5
Agathobacter rectalis	7.4	Agathobacter rectalis	8.2
Faecalibacterium prausnitzii	6.4	Faecalibacterium prausnitzii	2.4
Roseburia intestinalis	6.4	Roseburia intestinalis	5.2
Ruminococcus bromii	6.4	Ruminococcus bromii	1.3
Bifidobacterium adolescentis	5.3	Bifidobacterium adolescentis	9.8
Blautia wexlerae	5.3	Blautia wexlerae	4.2
Akkermansia muciniphila	4.3	Akkermansia muciniphila	2.7
Bacteroides fragilis	3.2	Bacteroides fragilis	1.1
Anaerostipes hadrus	3.2	Anaerostipes hadrus	4.1
Methanobrevibacter smithii	3.2	Methanobrevibacter smithii	5.8
Escherichia coli	1.6	Escherichia coli	0.4
Desulfovibrio piger	1.6	Desulfovibrio piger	0.6
